run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,908.4202561378479,None,908.3993418931962,910.4188749790192,Ich muss für meine wichtige Prüfung morgen lernen.,lernen,909.8020675897599,912.7188999652863,913.1022606611252,914.1189680099487,925.0029276132584,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_008.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,928.4198701381683,None,928.4004338502884,930.4207711219788,"Pinguine bewohnen die Antarktis, wie auch Robben und große Seelöwen.",bewohnen,929.8030374765397,None,934.8033836603165,None,944.9871485948563,None,946.403932094574,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_009.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,948.4383859634399,None,948.4180379629136,950.4375309944153,Zuhause erzählt er seiner kleinen Schwester davon.,erzählt,949.8207035779953,953.0042879581451,953.3877764463425,954.405876159668,965.0215814828873,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_010.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,968.4386491775513,None,968.4190498113633,970.4396409988403,Mit meinem Wagen kann ich nach Tibet reisen.,reisen,969.8218186616898,None,972.8224545240403,973.8386461734772,985.0225804567337,986.0393011569977,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_011.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,988.4400351047516,None,988.4200669050217,990.4396030902863,"Im Unterricht habe ich das Wichtige notiert, was der Lehrer gesagt.",notiert,989.8228405237198,993.9064049720764,994.2896025896073,None,1005.0234766721726,1006.0402171611786,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_012.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1008.4406621456146,None,1008.4235189676285,1010.4406630992889,Zur Registrierung meines Kontos musste ich ein Formular ausfüllen.,ausfüllen,1009.823707652092,1013.8739361763,1014.2572644472123,None,1025.0244656324387,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_013.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1028.4420070648193,None,1028.4220789194108,1030.4414620399475,"Ich möchte einen weiteren Test durchführen, um die Ergebnisse zu prüfen.",prüfen,1029.8247056722641,None,1034.5583694696427,None,1045.025515627861,1046.0424001216888,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_014.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1048.4424290657043,None,1048.42400701046,1050.443423986435,Er hat seine Katze oft mit Fisch gefüttert.,gefüttert,1049.8257954835892,1052.3091731071472,1052.692560505867,None,1065.0264776468277,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_015.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1068.4434859752655,None,1068.424182009697,1070.443442106247,Man wird damit bargeldlos bezahlen können.,bezahlen,1069.8267915964127,None,1072.8273766756058,None,1085.027504515648,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_016.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1088.4451220035553,None,1088.4277120351792,1090.444591999054,"Doris ist leider zu spät gekommen, die Apotheke hat heute schon geschlossen.",geschlossen,1089.827743601799,1094.5113270282745,1094.8946855783463,None,1105.0284884691239,1106.0463659763336,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_017.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1108.4454851150513,None,1108.4260318994523,1110.4454381465912,"Danke für den Smoothie, den Sie mir machten.",machten,1109.828885626793,1112.4456310272217,1112.8293946504593,None,1125.0297084569931,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_018.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1128.4139189720154,None,1128.3937419176102,1130.4144740104675,Trotz meines Verbots hat er sein Auto vor meinem Haus geparkt.,geparkt,1129.7966614484787,1133.5132920742035,1133.8965876817704,None,1144.9971836328507,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_019.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,20,0,20,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1148.41472697258,None,1148.394750905037,1150.41459608078,Das Huhn legt jeden Tag ein Ei.,legt,1149.7973786115647,1151.947653055191,1152.3309696435929,None,1164.9982474565506,1166.0152111053467,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_001_trial_020.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
