artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,320.4064269065857,None,320.38307924270634,322.3886020183563,321.7813354492188,None,325.18840346336367,None,326.58870539665224,336.5901188850403,336.9889584541321,337.9892489910126,338.3892800807953,339.3895170688629,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,341.41307306289673,None,341.4008702754975,343.40616106987,342.806146478653,None,346.2064875125885,None,347.60639748573305,357.60711693763733,358.0205803871155,None,359.4069800376892,360.40703105926514,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,362.4422240257263,None,362.4183842658997,364.4240870475769,363.80718955993655,366.80752992630005,367.2074554920197,368.2075939178467,368.60742650032046,378.6083059310913,379.00819144248965,None,380.415137052536,381.4249179363251,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,383.45999097824097,None,383.43627114295964,385.44198203086853,384.84159836769106,None,388.2415605545044,None,389.64187345504763,399.64258098602295,400.04232749938967,None,401.4425799846649,402.44263100624084,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,404.45974493026733,None,404.4539842128754,406.4594900608063,405.85937151908877,None,409.25956735610964,None,410.6595514774323,420.66179299354553,421.06003842353823,422.06012892723083,422.4601879119873,423.4606409072876,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
0,0,0,0,2,0,2,0,,,,,,,,,447.52848196029663,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",447.52848196029663,None,447.51444687843326,None,453.9120090007782,None,,455.9469380378723,None,455.93984870910646,457.94546008110046,457.3298173904419,None,460.72879848480227,None,462.1288555622101,472.12971806526184,472.5358515739441,None,473.9296419620514,474.92969703674316,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,476.96458196640015,None,476.94105024337773,478.9465899467468,478.3463655471802,None,481.7477444171906,None,483.1465955734253,493.14729404449463,493.547101354599,None,494.94735503196716,None,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
