run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,958.9550929069519,None,958.9381966114045,960.937912940979,Können Sie die Kleidung des Täters beschreiben?,beschreiben,960.3211923599243,None,963.2047554016114,964.2047290802002,975.5219675064087,None,976.9221279621124,977.9220929145813,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_005.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,979.9899990558624,None,979.989082145691,981.9893050193787,Wir haben einige sehr schöne Orte besucht.,besucht,981.3725343704224,984.0394179821014,984.456454372406,985.4561719894409,996.5731624126435,997.5731370449066,997.973160982132,998.973268032074,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_006.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1001.0233790874481,None,1001.0068146705628,1003.0068089962006,Zu Beginn der Konferenz wird der Präsident eine Rede halten.,halten,1002.4067095279694,None,1006.5236583709717,None,1017.6076735019684,None,1019.007688999176,1020.007688999176,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_007.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1022.0747001171112,None,1022.0579040527344,1024.0581231117249,"Ich darf Sie bitten, meinem Antrag zu entsprechen.",bitten,1023.4414285182953,None,1026.6583133697509,None,1038.6422585010528,None,1040.042309999466,1041.0423610210419,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_008.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1043.108913898468,None,1043.0925726413725,1045.0923569202423,"Es ist zu windig, können Sie bitte das Fenster schließen.",schließen,1044.4923234939574,None,1048.1925045013427,None,1059.6931165218352,None,1061.093197107315,1062.0932428836823,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_009.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1064.143893957138,None,1064.1267895221708,1066.1266899108887,Tomas fischt im Fluss und wird Fisch zum Abendessen essen.,fischt,1065.526746368408,1069.160276889801,1069.5603843688964,None,1080.7275553703307,None,1082.1276230812073,1083.127746105194,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_010.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1085.194561958313,None,1085.1779611587524,1087.177885055542,Wir haben die Buchung per E-Mail bestätigt.,bestätigt,1086.5779233932494,1089.1279599666595,1089.52800450325,None,1101.7786704063415,1102.7787840366364,1103.1787140369415,1104.1787750720978,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_011.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1106.2456209659576,None,1106.228990125656,1108.2288970947266,Morgen werde ich eine Schularbeit schreiben.,schreiben,1107.6122814178466,1110.079153060913,1110.4956813812255,1111.4958109855652,1122.8129623889922,None,1124.2131299972534,1125.2131850719452,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_012.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1127.2811601161957,None,1127.2634067058561,1129.263454914093,Vater trägt den großen Rucksack auf dem Rücken.,trägt,1128.6467004776,1131.5973579883575,1132.0137535095214,None,1143.8476274967193,1144.8478469848633,1145.2478139400482,1146.2478229999542,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_013.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1148.2979800701141,None,1148.2813762187957,1150.281564950943,Unser Biolehrer unterrichtet uns auch machmal im Grünen.,unterrichtet,1149.6646803379058,1153.0982480049133,1153.5149014949798,None,1164.8656433582305,None,1166.265573978424,1167.2656509876251,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_014.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
