28.8038 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
28.8045 	EXP 	New trial (rep=0, index=0): None
28.8050 	EXP 	New trial (rep=1, index=0): None
28.8055 	EXP 	New trial (rep=2, index=0): None
29.8371 	EXP 	fade_in_text: text = 'Please remain seated until further instruction via the earphone.'
29.8371 	EXP 	fade_in_text: autoDraw = True
35.8373 	EXP 	fade_in_text: autoDraw = True
35.8540 	EXP 	fade_in_text: autoDraw = True
35.8706 	EXP 	fade_in_text: autoDraw = True
35.8873 	EXP 	fade_in_text: autoDraw = True
35.9041 	EXP 	fade_in_text: autoDraw = True
35.9205 	EXP 	fade_in_text: autoDraw = True
35.9373 	EXP 	fade_in_text: autoDraw = True
35.9540 	EXP 	fade_in_text: autoDraw = True
35.9706 	EXP 	fade_in_text: autoDraw = True
35.9873 	EXP 	fade_in_text: autoDraw = True
36.0041 	EXP 	fade_in_text: autoDraw = True
36.0206 	EXP 	fade_in_text: autoDraw = True
36.0373 	EXP 	fade_in_text: autoDraw = True
36.0540 	EXP 	fade_in_text: autoDraw = True
36.0707 	EXP 	fade_in_text: autoDraw = True
36.0873 	EXP 	fade_in_text: autoDraw = True
36.1039 	EXP 	fade_in_text: autoDraw = True
36.1206 	EXP 	fade_in_text: autoDraw = True
36.1373 	EXP 	fade_in_text: autoDraw = True
36.1540 	EXP 	fade_in_text: autoDraw = True
36.1707 	EXP 	fade_in_text: autoDraw = True
36.1873 	EXP 	fade_in_text: autoDraw = True
36.2039 	EXP 	fade_in_text: autoDraw = True
36.2207 	EXP 	fade_in_text: autoDraw = True
36.2373 	EXP 	fade_in_text: autoDraw = True
36.2540 	EXP 	fade_in_text: autoDraw = True
36.2707 	EXP 	fade_in_text: autoDraw = True
36.2873 	EXP 	fade_in_text: autoDraw = True
36.3039 	EXP 	fade_in_text: autoDraw = True
36.3207 	EXP 	fade_in_text: autoDraw = True
36.3373 	EXP 	fade_in_text: autoDraw = True
36.3540 	EXP 	fade_in_text: autoDraw = True
36.3707 	EXP 	fade_in_text: autoDraw = True
36.3873 	EXP 	fade_in_text: autoDraw = True
36.4039 	EXP 	fade_in_text: autoDraw = True
36.4207 	EXP 	fade_in_text: autoDraw = True
36.4373 	EXP 	fade_in_text: autoDraw = True
36.4540 	EXP 	fade_in_text: autoDraw = True
36.4707 	EXP 	fade_in_text: autoDraw = True
36.4874 	EXP 	fade_in_text: autoDraw = True
36.5039 	EXP 	fade_in_text: autoDraw = True
36.5207 	EXP 	fade_in_text: autoDraw = True
36.5373 	EXP 	fade_in_text: autoDraw = True
36.5540 	EXP 	fade_in_text: autoDraw = True
36.5707 	EXP 	fade_in_text: autoDraw = True
36.5875 	EXP 	fade_in_text: autoDraw = True
36.6039 	EXP 	fade_in_text: autoDraw = True
36.6207 	EXP 	fade_in_text: autoDraw = True
36.6373 	EXP 	fade_in_text: autoDraw = True
36.6540 	EXP 	fade_in_text: autoDraw = True
36.6707 	EXP 	fade_in_text: autoDraw = True
36.6874 	EXP 	fade_in_text: autoDraw = True
36.7040 	EXP 	fade_in_text: autoDraw = True
36.7207 	EXP 	fade_in_text: autoDraw = True
36.7373 	EXP 	fade_in_text: autoDraw = True
36.7540 	EXP 	fade_in_text: autoDraw = True
36.7708 	EXP 	fade_in_text: autoDraw = True
36.7873 	EXP 	fade_in_text: autoDraw = True
36.8039 	EXP 	fade_in_text: autoDraw = True
36.8207 	EXP 	fade_in_text: autoDraw = True
36.8373 	EXP 	fade_in_text: autoDraw = True
36.8540 	EXP 	fade_in_text: autoDraw = True
36.8708 	EXP 	fade_in_text: autoDraw = True
36.8873 	EXP 	fade_in_text: autoDraw = True
36.9039 	EXP 	fade_in_text: autoDraw = True
36.9207 	EXP 	fade_in_text: autoDraw = True
36.9374 	EXP 	fade_in_text: autoDraw = True
36.9540 	EXP 	fade_in_text: autoDraw = True
36.9707 	EXP 	fade_in_text: autoDraw = True
36.9873 	EXP 	fade_in_text: autoDraw = True
37.0040 	EXP 	fade_in_text: autoDraw = True
37.0207 	EXP 	fade_in_text: autoDraw = True
37.0374 	EXP 	fade_in_text: autoDraw = True
37.0540 	EXP 	fade_in_text: autoDraw = True
37.0707 	EXP 	fade_in_text: autoDraw = True
37.0873 	EXP 	fade_in_text: autoDraw = True
37.1040 	EXP 	fade_in_text: autoDraw = True
37.1207 	EXP 	fade_in_text: autoDraw = True
37.1374 	EXP 	fade_in_text: autoDraw = True
37.1540 	EXP 	fade_in_text: autoDraw = True
37.1708 	EXP 	fade_in_text: autoDraw = True
37.1873 	EXP 	fade_in_text: autoDraw = True
37.2040 	EXP 	fade_in_text: autoDraw = True
37.2207 	EXP 	fade_in_text: autoDraw = True
37.2374 	EXP 	fade_in_text: autoDraw = True
37.2540 	EXP 	fade_in_text: autoDraw = True
37.2708 	EXP 	fade_in_text: autoDraw = True
37.2873 	EXP 	fade_in_text: autoDraw = True
37.3040 	EXP 	fade_in_text: autoDraw = True
37.3207 	EXP 	fade_in_text: autoDraw = True
37.3374 	EXP 	fade_in_text: autoDraw = True
37.3540 	EXP 	fade_in_text: autoDraw = True
37.3708 	EXP 	fade_in_text: autoDraw = True
37.3874 	EXP 	fade_in_text: autoDraw = True
37.4040 	EXP 	fade_in_text: autoDraw = True
37.4207 	EXP 	fade_in_text: autoDraw = True
37.4374 	EXP 	fade_in_text: autoDraw = True
37.4540 	EXP 	fade_in_text: autoDraw = True
37.4708 	EXP 	fade_in_text: autoDraw = True
37.4874 	EXP 	fade_in_text: autoDraw = True
37.5040 	EXP 	fade_in_text: autoDraw = True
37.5207 	EXP 	fade_in_text: autoDraw = True
37.5374 	EXP 	fade_in_text: autoDraw = True
37.5541 	EXP 	fade_in_text: autoDraw = True
37.5708 	EXP 	fade_in_text: autoDraw = True
37.5874 	EXP 	fade_in_text: autoDraw = True
37.6040 	EXP 	fade_in_text: autoDraw = True
37.6207 	EXP 	fade_in_text: autoDraw = True
37.6374 	EXP 	fade_in_text: autoDraw = True
37.6541 	EXP 	fade_in_text: autoDraw = True
37.6707 	EXP 	fade_in_text: autoDraw = True
37.6874 	EXP 	fade_in_text: autoDraw = True
37.7041 	EXP 	fade_in_text: autoDraw = True
37.7207 	EXP 	fade_in_text: autoDraw = True
37.7374 	EXP 	fade_in_text: autoDraw = True
37.7541 	EXP 	fade_in_text: autoDraw = True
37.7707 	EXP 	fade_in_text: autoDraw = True
37.7874 	EXP 	fade_in_text: autoDraw = True
37.8041 	EXP 	fade_in_text: autoDraw = True
37.8207 	EXP 	fade_in_text: autoDraw = True
37.8374 	EXP 	fade_in_text: autoDraw = True
37.8541 	EXP 	fade_in_text: autoDraw = True
37.8707 	EXP 	fade_in_text: autoDraw = True
37.8874 	EXP 	fade_in_text: autoDraw = True
37.9041 	EXP 	fade_in_text: autoDraw = True
37.9207 	EXP 	fade_in_text: autoDraw = True
37.9374 	EXP 	fade_in_text: autoDraw = True
37.9542 	EXP 	fade_in_text: autoDraw = True
37.9707 	EXP 	fade_in_text: autoDraw = True
37.9874 	EXP 	fade_in_text: autoDraw = True
38.0041 	EXP 	fade_in_text: autoDraw = True
38.0208 	EXP 	fade_in_text: autoDraw = True
38.0374 	EXP 	fade_in_text: autoDraw = True
38.0542 	EXP 	fade_in_text: autoDraw = True
38.0707 	EXP 	fade_in_text: autoDraw = True
38.0874 	EXP 	fade_in_text: autoDraw = True
38.1041 	EXP 	fade_in_text: autoDraw = True
38.1208 	EXP 	fade_in_text: autoDraw = True
38.1374 	EXP 	fade_in_text: autoDraw = True
38.1542 	EXP 	fade_in_text: autoDraw = True
38.1708 	EXP 	fade_in_text: autoDraw = True
38.1874 	EXP 	fade_in_text: autoDraw = True
38.2041 	EXP 	fade_in_text: autoDraw = True
38.2208 	EXP 	fade_in_text: autoDraw = True
38.2374 	EXP 	fade_in_text: autoDraw = True
38.2542 	EXP 	fade_in_text: autoDraw = True
38.2708 	EXP 	fade_in_text: autoDraw = True
38.2874 	EXP 	fade_in_text: autoDraw = True
38.3041 	EXP 	fade_in_text: autoDraw = True
38.3208 	EXP 	fade_in_text: autoDraw = True
38.3374 	EXP 	fade_in_text: autoDraw = True
38.3540 	EXP 	fade_in_text: autoDraw = True
38.3708 	EXP 	fade_in_text: autoDraw = True
38.3875 	EXP 	fade_in_text: autoDraw = True
38.4041 	EXP 	fade_in_text: autoDraw = True
38.4208 	EXP 	fade_in_text: autoDraw = True
38.4374 	EXP 	fade_in_text: autoDraw = True
38.4540 	EXP 	fade_in_text: autoDraw = True
38.4708 	EXP 	fade_in_text: autoDraw = True
38.4875 	EXP 	fade_in_text: autoDraw = True
38.5041 	EXP 	fade_in_text: autoDraw = True
38.5208 	EXP 	fade_in_text: autoDraw = True
38.5374 	EXP 	fade_in_text: autoDraw = True
38.5540 	EXP 	fade_in_text: autoDraw = True
38.5708 	EXP 	fade_in_text: autoDraw = True
38.5874 	EXP 	fade_in_text: autoDraw = True
38.6041 	EXP 	fade_in_text: autoDraw = True
38.6208 	EXP 	fade_in_text: autoDraw = True
38.6376 	EXP 	fade_in_text: autoDraw = True
38.6540 	EXP 	fade_in_text: autoDraw = True
38.6708 	EXP 	fade_in_text: autoDraw = True
38.6875 	EXP 	fade_in_text: autoDraw = True
38.7041 	EXP 	fade_in_text: autoDraw = True
38.7208 	EXP 	fade_in_text: autoDraw = True
38.7376 	EXP 	fade_in_text: autoDraw = True
38.7540 	EXP 	fade_in_text: autoDraw = True
38.7709 	EXP 	fade_in_text: autoDraw = True
38.7875 	EXP 	fade_in_text: autoDraw = True
38.8041 	EXP 	fade_in_text: autoDraw = True
38.8208 	EXP 	fade_in_text: autoDraw = True
38.8376 	EXP 	fade_in_text: autoDraw = True
38.8541 	EXP 	fade_in_text: autoDraw = True
38.8708 	EXP 	fade_in_text: autoDraw = True
38.8875 	EXP 	fade_in_text: autoDraw = True
38.9041 	EXP 	fade_in_text: autoDraw = True
38.9208 	EXP 	fade_in_text: autoDraw = True
38.9377 	EXP 	fade_in_text: autoDraw = True
38.9541 	EXP 	fade_in_text: autoDraw = True
38.9708 	EXP 	fade_in_text: autoDraw = True
38.9875 	EXP 	fade_in_text: autoDraw = True
39.0041 	EXP 	fade_in_text: autoDraw = True
39.0208 	EXP 	fade_in_text: autoDraw = True
39.0374 	EXP 	fade_in_text: autoDraw = True
39.0541 	EXP 	fade_in_text: autoDraw = True
39.0708 	EXP 	fade_in_text: autoDraw = True
39.0875 	EXP 	fade_in_text: autoDraw = True
39.1041 	EXP 	fade_in_text: autoDraw = True
39.1208 	EXP 	fade_in_text: autoDraw = True
39.1374 	EXP 	fade_in_text: autoDraw = True
39.1542 	EXP 	fade_in_text: autoDraw = True
39.1708 	EXP 	fade_in_text: autoDraw = True
39.1875 	EXP 	fade_in_text: autoDraw = True
39.2042 	EXP 	fade_in_text: autoDraw = True
39.2208 	EXP 	fade_in_text: autoDraw = True
39.2374 	EXP 	fade_in_text: autoDraw = True
39.2541 	EXP 	fade_in_text: autoDraw = True
39.2708 	EXP 	fade_in_text: autoDraw = True
39.2875 	EXP 	fade_in_text: autoDraw = True
39.3042 	EXP 	fade_in_text: autoDraw = True
39.3209 	EXP 	fade_in_text: autoDraw = True
39.3374 	EXP 	fade_in_text: autoDraw = True
39.3542 	EXP 	fade_in_text: autoDraw = True
