run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,939.180755853653,None,939.1618746042251,941.1796779632568,"Mein Bruder hat uns zum Abendessen eingeladen, ich habe bereits zugesagt.",eingeladen,940.5629418134689,None,945.5631988286972,946.5801420211792,955.7637789487839,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_020.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,959.1815030574799,None,959.1629114866256,961.1807339191437,Mit der Benzin wird der Motor des Autos angetrieben.,angetrieben,960.564281964302,963.6808609962463,964.0641689538955,965.0808799266815,975.7647147417068,976.7816009521484,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_021.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,979.1820039749146,None,979.1472726345062,981.1817810535431,Als ein vertrauenswürdiger Mann hält Sam immer sein Versprechen.,hält,980.5650317907333,984.3487029075623,984.698605799675,None,995.7658818006515,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_022.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,999.1999368667603,None,999.1647434949874,1001.1994960308075,"Ich habe keine Ahnung, wie viel du für das Auto gezahlt hast, aber lass mich mal raten.",raten,1000.5830469369888,1005.7997179031372,1006.1497509717941,1007.1664929389954,1015.7834728002548,1016.8002889156342,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_023.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1019.15110206604,None,1019.116048836708,1021.1504368782043,Marco hat gestern einen Brief an seine Eltern geschrieben.,geschrieben,1020.5004878282547,1023.8506789207458,1024.267353796959,None,1035.7012899160386,None,1037.1180348396301,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_024.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1040.168293952942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1059.2695078849792,None,1059.2506595373154,1061.269408941269,Die schwarze Wolken werden Regen bringen.,bringen,1060.65259077549,None,1063.4194119215013,None,1075.8535039663316,1076.8700959682465,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1079.2875049114227,None,1079.2523067235948,1081.2869369983673,"Bitte zahlen Sie sofort, wir nehmen keinen Kredit.",zahlen,1080.6370058298112,1083.954155921936,1084.3706119298936,1085.3873300552368,1095.8380408525468,1096.8544960021973,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1099.2892818450928,None,1099.2700236558915,1101.2883968353271,Das Unternehmen wird nächste Woche die Jahresprämie bezahlen.,bezahlen,1100.6712999582292,None,1104.7382757902146,None,1115.8721618890763,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,1119.2724678516388,None,1119.2377426862718,1121.2724890708923,"Da Sie keine andere Wahl haben, können Sie nicht wählen.",wählen,1120.6226527929307,None,1124.2559268712998,1125.2727069854736,1135.8232238531114,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_001_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
